Ticker,ETF_Ticker,ETF_Name,Category,Expense_Ratio,Weightage
TSN,FTRI,First Trust Indxx Global Natural Resources Income ETF,Commodity Producers Equities,0.7,5.21
TSN,WBIF,WBI BullBear Value 3000 ETF,Global Equities,1.25,4.19
TSN,WBIL,WBI BullBear Quality 3000 ETF,Global Equities,1.25,4.13
TSN,FXG,First Trust Consumer Staples AlphaDEX Fund,Consumer Staples Equities,0.63,4.12
TSN,WBIG,WBI BullBear Yield 3000 ETF,Global Equities,1.14,4.1
TSN,MOO,VanEck Agribusiness ETF,Large Cap Blend Equities,0.56,3.94
TSN,AMER,Emles Made in America ETF,All Cap Equities,0.49,3.48
TSN,RHS,Invesco S&P 500® Equal Weight Consumer Staples ETF,Consumer Staples Equities,0.4,3.4
TSN,GUNR,FlexShares Morningstar Global Upstream Natural Resources Index Fund,Commodity Producers Equities,0.46,2.59
UAA,MVP,Roundhill Pro Sports Media & Apparel ETF,N/A,0.75,2.51
UPS,IYT,iShares US Transportation ETF,Transportation Equities,0.42,16.59
UPS,XLI,Industrial Select Sector SPDR Fund,Industrials Equities,0.12,4.8
UPS,FTXR,First Trust Nasdaq Transportation ETF,Industrials Equities,0.6,3.92
UPS,FIDU,Fidelity MSCI Industrial Index ETF,Industrials Equities,0.08,3.6
UPS,VIS,Vanguard Industrials ETF,Industrials Equities,0.1,3.35
UPS,IYJ,iShares U.S. Industrials ETF,Industrials Equities,0.42,2.64
UPS,LRGE,ClearBridge Large Cap Growth ESG ETF,Large Cap Growth Equities,0.59,2.57
UPS,TEQI,T. Rowe Price Equity Income ETF,Large Cap Value Equities,0.54,2.54
UPS,YLDE,ClearBridge Dividend Strategy ESG ETF,Large Cap Growth Equities,0.6,2.5
UPS,EXI,iShares Global Industrials ETF,Industrials Equities,0.43,2.5
VLO,CRAK,VanEck Oil Refiners ETF,Energy Equities,0.6,6.88
VLO,RYE,Invesco S&P 500® Equal Weight Energy ETF,Energy Equities,0.4,4.47
VLO,PXE,Invesco Dynamic Energy Exploration & Production ETF,Energy Equities,0.63,4.38
VLO,IEO,iShares U.S. Oil & Gas Exploration & Production ETF,Energy Equities,0.42,4.25
VLO,SDEI,Sound Equity Income ETF,N/A,0.45,3.92
VLO,JHME,John Hancock Multifactor Energy ETF,Energy Equities,0.4,3.82
VLO,XLE,Energy Select Sector SPDR Fund,Energy Equities,0.12,3.23
VLO,PEY,Invesco High Yield Equity Dividend Achievers™ ETF,All Cap Equities,0.53,3.21
VLO,PXI,Invesco DWA Energy Momentum ETF,Energy Equities,0.6,3.15
VLO,EQRR,ProShares Equities for Rising Rates ETF,Large Cap Blend Equities,0.35,2.63
VZ,IYZ,iShares U.S. Telecommunications ETF,Communications Equities,0.42,13.87
VZ,FDL,First Trust Morningstar Dividend Leaders Index Fund,Large Cap Value Equities,0.45,6.75
VZ,DJD,Invesco Dow Jones Industrial Average Dividend ETF,Large Cap Blend Equities,0.07,6.53
VZ,WBIY,WBI Power Factor High Dividend ETF,All Cap Equities,0.7,5.97
VZ,HDV,iShares Core High Dividend ETF,Large Cap Value Equities,0.08,5.26
VZ,RDIV,Invesco S&P Ultra Dividend Revenue ETF,All Cap Equities,0.39,4.92
VZ,XLC,Communication Services Select Sector SPDR Fund,Large Cap Growth Equities,0.12,4.59
VZ,DURA,VanEck Morningstar Durable Dividend ETF,Large Cap Blend Equities,0.29,4.54
VZ,IXP,iShares Global Comm Services ETF,Large Cap Growth Equities,0.43,4.54
VZ,FCOM,Fidelity MSCI Communication Services Index ETF,Large Cap Growth Equities,0.08,4.49
VTRS,IHE,iShares U.S. Pharmaceuticals ETF,Health & Biotech Equities,0.42,4.46
VTRS,PPH,VanEck Pharmaceutical ETF,Health & Biotech Equities,0.35,4.46
VTRS,XPH,SPDR S&P Pharmaceuticals ETF,Health & Biotech Equities,0.35,4.45
VTRS,BTEC,Principal Healthcare Innovators ETF,Health & Biotech Equities,0.42,2.06
WRB,KBWP,Invesco KBW Property & Casualty Insurance ETF,Financials Equities,0.35,4.37
WRB,KIE,SPDR S&P Insurance ETF,Financials Equities,0.35,2.22
WRB,RYF,Invesco S&P 500® Equal Weight Financials ETF,Financials Equities,0.4,1.63
WBA,DJD,Invesco Dow Jones Industrial Average Dividend ETF,Large Cap Blend Equities,0.07,5.5
WBA,RDIV,Invesco S&P Ultra Dividend Revenue ETF,All Cap Equities,0.39,4.94
WBA,GBDV,Global Beta Smart Income ETF,Large Cap Value Equities,0.29,4.51
WBA,WBIG,WBI BullBear Yield 3000 ETF,Global Equities,1.14,4.3
WBA,FXG,First Trust Consumer Staples AlphaDEX Fund,Consumer Staples Equities,0.63,3.28
WBA,JHMS,John Hancock Multifactor Consumer Staples ETF,Consumer Staples Equities,0.4,3.05
WBA,IYK,iShares U.S. Consumer Staples ETF,Consumer Staples Equities,0.43,1.89
WBA,VDC,Vanguard Consumer Staples ETF,Consumer Staples Equities,0.1,1.67
WBA,SDY,SPDR S&P Dividend ETF,All Cap Equities,0.35,1.58
WBA,ESGS,Columbia Sustainable US Equity Income ETF,All Cap Equities,0.35,1.47
WEC,UTES,Virtus Reaves Utilities ETF,Utilities Equities,0.49,4.01
WEC,PUI,Invesco DWA Utilities Momentum ETF,Utilities Equities,0.6,3.79
WEC,XLU,Utilities Select Sector SPDR Fund,Utilities Equities,0.12,3.03
WEC,VPU,Vanguard Utilities ETF,Utilities Equities,0.1,2.69
WEC,FUTY,Fidelity MSCI Utilities Index ETF,Utilities Equities,0.08,2.61
WEC,IDU,iShares U.S. Utilities ETF,Utilities Equities,0.43,2.51
WEC,CZA,Invesco Zacks Mid-Cap ETF,Mid Cap Blend Equities,0.69,1.82
WEC,LGLV,SPDR SSGA US Large Cap Low Volatility Index ETF,Volatility Hedged Equity,0.12,1.17
WHR,XHB,SPDR S&P Homebuilders ETF,Building & Construction ,0.35,3.71
WHR,SPVM,Invesco S&P 500 Value with Momentum ETF,Large Cap Value Equities,0.39,1.28
XEL,JHMU,John Hancock Multifactor Utilities ETF,Utilities Equities,0.4,4.93
XEL,UTES,Virtus Reaves Utilities ETF,Utilities Equities,0.49,4.28
XEL,PUI,Invesco DWA Utilities Momentum ETF,Utilities Equities,0.6,4.1
XEL,XLU,Utilities Select Sector SPDR Fund,Utilities Equities,0.12,3.68
XEL,ECLN,First Trust EIP Carbon Impact ETF,Utilities Equities,0.97,3.38
XEL,VPU,Vanguard Utilities ETF,Utilities Equities,0.1,3.34
XEL,FUTY,Fidelity MSCI Utilities Index ETF,Utilities Equities,0.08,3.17
XEL,IDU,iShares U.S. Utilities ETF,Utilities Equities,0.43,3.04
XEL,VSDA,VictoryShares Dividend Accelerator ETF,Large Cap Growth Equities,0.35,2.7
XEL,JXI,iShares Global Utilities ETF,Utilities Equities,0.43,2.28
