Ticker,Year,Total_Revenue,Cost_of_Revenue,Gross_Profit,Operating_Expense,Operating_Income,Net_Non_Operating_Interest_Income_Expense,Other_Income_Expense,Pretax_Income,Tax_Provision
BBY,2019.0,42879000.0,32918000.0,9961000.0,8015000.0,1946000.0,-73000.0,15000.0,1888000.0,424000.0
BBY,2018.0,42151000.0,32275000.0,9876000.0,8023000.0,1853000.0,-75000.0,39000.0,1817000.0,818000.0
TECH,2021.0,984552.0,318436.0,666116.0,409296.0,256820.0,,-71424.0,176219.0,1048.0
TECH,2021.0,931032.0,298182.0,632850.0,390160.0,242690.0,-13479.0,-81036.0,148175.0,8590.0
TECH,2020.0,738691.0,255497.0,483194.0,334347.0,148847.0,-18592.0,146222.0,276477.0,47181.0
TECH,2019.0,714006.0,240515.0,473491.0,326387.0,147104.0,-21136.0,-13953.0,112015.0,15943.0
TECH,2018.0,642993.0,210850.0,432143.0,297768.0,134375.0,-9779.0,1356.0,125952.0,-198.0
BLK,2021.0,18746000.0,9220000.0,9526000.0,2232000.0,7294000.0,-140000.0,1076000.0,8230000.0,1917000.0
BLK,2020.0,16205000.0,7939000.0,8266000.0,1953000.0,6313000.0,-143000.0,354000.0,6524000.0,1238000.0
BLK,2019.0,14539000.0,7133000.0,7406000.0,1771000.0,5635000.0,-106000.0,258000.0,5787000.0,1261000.0
BLK,2018.0,14198000.0,6993000.0,7205000.0,1607000.0,5598000.0,-80000.0,-140000.0,5378000.0,1076000.0
BLK,2017.0,12491000.0,5668000.0,6823000.0,1551000.0,5272000.0,-156000.0,161000.0,5277000.0,270000.0
BA,2021.0,62797000.0,62954000.0,-157000.0,7173000.0,-7330000.0,-2719000.0,1091000.0,-8958000.0,-393000.0
BA,2020.0,58158000.0,63843000.0,-5685000.0,7293000.0,-12978000.0,-2156000.0,658000.0,-14476000.0,-2535000.0
BA,2019.0,76559000.0,72093000.0,4466000.0,7128000.0,-2662000.0,-722000.0,1125000.0,-2259000.0,-1623000.0
BA,2018.0,101127000.0,81490000.0,19637000.0,7836000.0,11801000.0,-475000.0,278000.0,11604000.0,1144000.0
BA,2017.0,93392000.0,76066000.0,17326000.0,7273000.0,10053000.0,-360000.0,354000.0,10047000.0,1850000.0
BWA,2021.0,15109000.0,12107000.0,3002000.0,1468000.0,1534000.0,-94000.0,-210000.0,1230000.0,360000.0
BWA,2020.0,10165000.0,8255000.0,1910000.0,985000.0,925000.0,-61000.0,100000.0,964000.0,397000.0
BWA,2019.0,10168000.0,8067000.0,2101000.0,873000.0,1228000.0,-43000.0,80000.0,1265000.0,468000.0
BWA,2018.0,10529600.0,8300200.0,2229400.0,945700.0,1283700.0,-52300.0,-35500.0,1195900.0,211300.0
BWA,2017.0,9799300.0,7679200.0,2120100.0,898500.0,1221600.0,-64700.0,-93300.0,1063600.0,580300.0
BSX,2021.0,11470000.0,3790000.0,7680000.0,6146000.0,1534000.0,-347000.0,74000.0,1264000.0,106000.0
BSX,2020.0,9913000.0,3510000.0,6403000.0,5719000.0,684000.0,-358000.0,-405000.0,-79000.0,2000.0
BSX,2019.0,10735000.0,3181000.0,7554000.0,5814000.0,1740000.0,-443000.0,-612000.0,687000.0,-4013000.0
BSX,2018.0,9823000.0,2883000.0,6940000.0,5281000.0,1659000.0,-238000.0,-1000.0,1422000.0,-249000.0
BSX,2017.0,9048000.0,2661000.0,6387000.0,4856000.0,1531000.0,-224000.0,-375000.0,933000.0,828000.0
AVGO,2021.0,26510000.0,10557000.0,15953000.0,8332000.0,7621000.0,-1818000.0,-70000.0,5733000.0,-338000.0
AVGO,2020.0,23888000.0,10372000.0,13516000.0,9304000.0,4212000.0,-1724000.0,-45000.0,2443000.0,-518000.0
AVGO,2019.0,22597000.0,10114000.0,12483000.0,8303000.0,4180000.0,-1346000.0,-608000.0,2226000.0,-510000.0
AVGO,2018.0,20848000.0,10115000.0,10733000.0,5365000.0,5368000.0,-514000.0,-309000.0,4545000.0,-8084000.0
BRO,2021.0,2949662.0,1597577.0,1352085.0,533352.0,818733.0,-64758.0,-1055.0,752920.0,170213.0
BRO,2020.0,2606108.0,1436377.0,1169731.0,500772.0,668959.0,-58973.0,14113.0,624099.0,143616.0
BRO,2019.0,2384737.0,1308165.0,1076572.0,505804.0,570768.0,-63660.0,18821.0,525929.0,127415.0
BRO,2018.0,2009857.0,1068914.0,940943.0,441496.0,499447.0,-40580.0,3595.0,462462.0,118207.0
BRO,2017.0,1857270.0,994652.0,862618.0,391614.0,471004.0,-38316.0,17034.0,449722.0,50092.0
CHRW,2021.0,21149742.0,19646292.0,1503450.0,501946.0,1001504.0,-53452.0,,948052.0,186098.0
CHRW,2020.0,16207106.0,15037716.0,1169390.0,496122.0,673268.0,-44937.0,,628331.0,121910.0
CHRW,2019.0,15309508.0,14021726.0,1287782.0,497806.0,789976.0,-47719.0,,742257.0,165289.0
CHRW,2018.0,16631172.0,15269479.0,1361693.0,449610.0,912083.0,-31810.0,,880273.0,215768.0
